shade,MSI_ref,AS7343
red_L,0.158002,0.1474
,0.158002,0.14775
,0.158002,0.15131
,0.158002,0.0344
,0.158002,0.15182
,0.158002,0.15304
red_M,0.267851,0.25218
,0.267851,0.25228
,0.267851,0.25169
,0.267851,0.25199
,0.267851,0.24652
,0.267851,0.25036
red_D,0.430171,0.29326
,0.430171,0.29135
,0.430171,0.28474
,0.430171,0.28144
,0.430171,0.28001
,0.430171,0.27895
ylw_L,0.041978,0.03935
,0.041978,0.04224
,0.041978,0.04248
,0.041978,0.04215
,0.041978,0.04218
,0.041978,0.04239
ylw_M,0.023313,0.08825
,0.023313,0.08798
,0.023313,0.08788
,0.023313,0.08873
,0.023313,0.08689
,0.023313,0.08598
ylw_D,0.034332,0.09825
,0.034332,0.10413
,0.034332,0.09874
,0.034332,0.09752
,0.034332,0.10114
,0.034332,0.10097
grn_L,0.043951,0.10223
,0.043951,0.10784
,0.043951,0.10859
,0.043951,0.09919
,0.043951,0.09926
,0.043951,0.09908
grn_M,0.046334,0.26526
,0.046334,0.26511
,0.046334,0.2649
,0.046334,0.26587
,0.046334,0.26592
,0.046334,0.26444
grn_D,0.108021,0.34495
,0.108021,0.34123
,0.108021,0.33381
,0.108021,0.33929
,0.108021,0.33971
,0.108021,0.33995
blu_L,0.051057,0.08322
,0.051057,0.08686
,0.051057,0.08477
,0.051057,0.087
,0.051057,0.08727
,0.051057,0.08703
blu_M,0.111480,0.27659
,0.111480,0.27806
,0.111480,0.27372
,0.111480,0.27387
,0.111480,0.27429
,0.111480,0.27659
blu_D,0.282706,0.39848
,0.282706,0.38691
,0.282706,0.39023
,0.282706,0.38996
,0.282706,0.38982
,0.282706,0.3903
vio_L,0.218069,0.30816
,0.218069,0.30872
,0.218069,0.30917
,0.218069,0.30872
,0.218069,0.30816
,0.218069,0.30855
vio_M,0.224897,0.34123
,0.224897,0.37164
,0.224897,0.37034
,0.224897,0.36898
,0.224897,0.37073
,0.224897,0.37047
vio_D,0.342266,0.41345
,0.342266,0.41023
,0.342266,0.41323
,0.342266,0.4133
,0.342266,0.41359
,0.342266,0.41316
