channel,red_baseline,red_L,red_M,red_D,ylw_baseline,ylw_L,ylw_M,ylw_D,blu_baseline,blu_L,blu_M,blu_D
450nm,51804,26510,11375,3441,49588,24486,10634,7030,48868,46750,44032,40588
475nm,37817,15761,6223,2628,36866,25449,15684,11172,36273,32505,28427,24316
515nm,47767,17033,5899,2462,46346,43749,39373,36285,45872,41428,35664,27284
550nm,16152,10630,10535,9253,16302,14620,12909,12446,16026,12681,9370,6382
555nm,64757,41493,34334,26405,62670,59086,54231,52437,62007,48739,34495,19701
600nm,46990,37487,38380,33605,45750,43850,40959,40606,45260,30183,16608,5894
640nm,29549,22973,24753,23295,29155,27317,25080,24681,28744,18059,9534,3741
690nm,9560,4424,3355,2176,10026,8343,6828,6313,9811,6822,4021,1721
gain,256,256,256,256,256,256,256,256,256,256,256,256
t_tint,397.540000,397.540000,397.540000,397.540000,333.600000,333.600000,333.600000,333.600000,333.600000,333.600000,333.600000,333.600000
450nm,49588,41298,19129,6545,49588,26303,12767,8337,48868,60384,61710,61488
475nm,36866,25323,10449,4987,36866,26181,18838,13241,36273,41791,39827,36819
515nm,46346,27115,9902,4675,46346,43385,47194,43091,45872,53286,49938,41318
550nm,16302,17379,17692,17587,16302,14472,15499,14745,16026,16310,13121,9661
555nm,62670,64747,57710,50251,62670,58450,65029,62252,62007,62684,48347,29822
600nm,45750,58441,64477,63971,45750,43240,49131,48253,45260,38934,23293,8908
640nm,29155,36385,41586,44239,29155,27000,30097,29326,28744,23228,13348,5658
690nm,10026,7900,5639,4134,10026,8279,8223,7477,9811,8780,5633,2601
gain,256,256,256,256,256,256,256,256,256,256,256,256
t_tint,333.600000,542.100000,667.200000,756.160000,333.600000,333.600000,397.540000,397.540000,333.600000,428.120000,467.040000,505.960000
