red,baseline,1,2,3,4,5,6,7,8,9,10,12,14,16,18,20,24,28,32,36,40,48,56,64,72,80,100,120,140,160,180,200,300,400,500
450,54374,42957,36320,31121,26729,22788,25928,23614,19499,18089,13318,11827,7054,6697,5538,5028,3176,3424,4208,3271,3247,1291,2424,2154,624,2057,3949,547,1476,3067,1765,2075,,,
475,32201,22962,18214,14673,11820,9571,11324,10296,8360,7576,5417,5201,2810,2797,2505,2382,1812,2034,2613,2072,2230,1015,1686,1430,536,1426,2426,472,1085,1966,1198,1370,,,
515,45193,29968,23704,18560,14562,11477,12372,11318,9317,8267,6615,6992,3604,3587,3284,3122,2474,2697,3447,2861,2949,1218,2148,1728,601,1733,3169,496,1315,2707,1476,1715,,,
550,12809,11016,9369,8640,8201,8029,11229,11199,10814,10634,7349,7343,6663,6797,6756,6743,6636,6557,6526,6335,6274,5126,4822,4745,4113,4551,5257,5016,5412,5342,5146,5163,,,
555,61231,51855,45401,41374,38301,35925,44333,43429,40786,39800,29891,28714,24231,24190,23108,22492,20252,19453,19008,17728,16594,11928,11531,10767,7951,9312,11372,7553,8328,9207,7599,7523,,,
600,44151,41434,37492,35975,34954,34448,44202,44113,42971,42559,31845,30916,28199,28457,27672,27466,25733,25072,24226,23221,22013,17201,15826,15245,12339,13507,15491,12767,13386,13209,12003,11676,,,
640,26308,24452,21840,20840,20361,20413,26876,27010,26599,26430,19571,19376,18058,18454,18294,18376,17996,17908,17749,17364,17079,14020,13190,13071,11252,12496,14371,13578,14514,14208,13763,13656,,,
690,6086,4297,3112,2468,2054,1790,3313,3198,2804,2658,1239,1188,917,938,905,897,849,833,830,795,780,615,582,572,491,549,641,601,654,653,622,627,,,
blue,baseline,1,2,3,4,5,6,7,8,9,10,12,14,16,18,20,24,28,32,36,40,48,56,64,72,80,100,120,140,160,180,200,,,
450,55475,54039,52482,49547,48609,47776,46196,42329,42726,44973,45834,44136,44095,42960,42556,41064,39680,38892,37025,35255,33258,26256,19731,,,,,,,,,,,,
475,32588,30409,28948,26454,25417,24943,23827,21767,22132,22888,23522,22448,22461,21795,21533,20687,19900,19345,18438,17414,16479,12921,9879,,,,,,,,,,,,
515,46183,43644,41663,37558,35519,34121,31770,28622,28499,28094,28386,26106,24880,22648,21581,19599,17111,15304,13669,12141,10697,7514,5493,,,,,,,,,,,,
550,12779,10913,9718,7893,7274,6922,6416,5809,5873,5917,6087,5770,5699,5454,5369,5092,4843,4651,4376,4135,3858,3060,2376,,,,,,,,,,,,
555,62923,54337,48042,38307,34032,30625,26983,23059,21868,20871,20748,18286,16968,14798,13837,12608,10768,9793,8819,7730,6300,4407,3434,,,,,,,,,,,,
600,45334,35227,28614,19619,15705,13020,10501,8229,7488,6680,6762,5658,5143,4256,3906,3718,3222,2996,2801,2365,1494,1022,1001,,,,,,,,,,,,
640,26658,19537,15249,9721,7611,6462,5164,4184,4110,3696,3948,3479,3299,2826,2707,2534,2247,2093,1941,1658,1161,795,739,,,,,,,,,,,,
690,5830,4221,3220,1888,1494,1279,1083,919,935,944,978,921,917,888,884,850,834,823,793,769,738,613,490,,,,,,,,,,,,
yellow,baseline,1,2,3,4,5,6,7,8,9,10,12,14,16,18,20,24,28,32,36,40,48,56,64,72,80,100,120,140,160,180,200,300,400,500
450,47220,39931,31724,27817,23937,21135,17619,16384,15565,14377,13452,12515,10011,8005,9066,8261,7263,7345,6559,6486,5873,5309,4736,4638,4421,4232,3825,3585,3403,3293,3129,3096,2696,2230,2071
475,33972,29466,24925,23071,21324,19551,17711,17436,16969,16226,15605,15123,13018,10432,11053,10708,9723,9766,8854,8404,7610,6770,5856,5563,5285,4968,4312,3907,3651,3364,3140,3135,2633,2188,1937
515,45172,42233,39055,38269,37878,36661,36288,37349,37316,36790,36828,36945,35546,31058,32060,32767,32809,32654,31711,31797,30504,29380,27638,26760,25972,24736,22822,20815,19281,17553,16238,15605,11601,8559,6456
550,14100,12487,11091,10751,10512,10000,9779,10238,10232,10027,10045,10160,9587,7944,8376,8681,8789,8789,8569,8738,8419,8328,8028,7919,7852,7674,7475,7337,7243,7093,7011,7147,6901,6630,6473
555,61261,57136,52650,51864,51224,49850,49134,50773,50824,50052,50161,50499,48968,42920,44180,45617,45976,45784,44809,45447,44153,43420,42339,41444,41084,40293,38732,37714,36622,35648,34794,34627,31667,29013,26807
600,44382,41326,38189,37796,37472,36360,36039,37431,37569,36921,37084,37597,36349,32033,32881,34270,34629,34458,33879,34634,33773,33548,33206,32674,32552,32190,31607,31511,31100,30876,30710,30943,30044,29019,28202
640,27128,24736,22644,22179,21974,21187,20852,21759,21755,21483,21507,21878,20855,18097,18776,19475,19723,19639,19333,19683,19216,19122,18789,18452,18499,18155,17851,17771,17695,17557,17453,17709,17435,17122,17005
690,7591,6273,5226,4936,4712,4356,4114,4380,4382,4259,4207,4290,3838,2758,3019,3177,3182,3188,3047,3066,2875,2767,2561,2472,2398,2295,2105,1974,1863,1734,1664,1684,1445,1225,1101
