450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,rf,svc,xgb_f,xgb_d,regr_xgb_f
0.0090356637,0.0063722110,0.0063777883,0.0058900951,0.0064581954,0.0060324077,0.0049110791,0.0076037287,2,2,1,2,5.685054
0.2208277285,0.2201686800,0.1941213608,0.2700299323,0.1899123490,0.1969451457,0.2327827066,0.3534645438,2,2,1,2,59.571472
0.0182828307,0.0186794996,0.0172069855,0.0219888110,0.0176087245,0.0188221019,0.0198637247,0.0283912383,2,1,1,0,24.045708
-0.0049153157,-0.0090006739,-0.0076253572,-0.0119465077,-0.0069918362,-0.0079494640,-0.0097843586,-0.0151117286,2,2,1,2,-23.053150
0.0369362682,0.0394002758,0.0356406383,0.0459387563,0.0347286277,0.0351649486,0.0394279100,0.0575294197,2,1,1,0,24.825792
0.0135673340,0.0051001087,0.0056388807,0.0023856049,0.0048103193,0.0035070293,0.0022674864,0.0041499631,2,2,1,2,5.103435
0.0993627459,0.0945673212,0.0851334333,0.1120799407,0.0825342536,0.0848065242,0.0975646973,0.1393584013,2,2,1,2,72.794907
0.0755108818,0.0757323205,0.0682766065,0.0907988399,0.0643488690,0.0664219484,0.0783033744,0.1117967144,2,2,1,2,72.784096
0.1357244551,0.1282987297,0.1167828366,0.1419526488,0.1030734554,0.0991229564,0.1129317358,0.1809428632,2,2,1,2,48.864758
0.0066479458,0.0081768837,0.0076656891,0.0097548151,0.0095297685,0.0088679586,0.0085320631,0.0111057861,2,1,1,1,7.563922
0.0035653603,0.0107914191,0.0110022034,0.0160949081,0.0077984319,0.0061680707,0.0108517082,0.0204552803,2,1,1,1,0.426231
0.0287883990,0.0290138926,0.0262973253,0.0330578536,0.0258479435,0.0272557605,0.0289154127,0.0420397036,2,1,1,0,23.816591
0.0185445268,0.0227281302,0.0212471839,0.0267960224,0.0197388176,0.0188882817,0.0213609803,0.0324666053,2,1,1,0,24.600494
0.0063009867,0.0054567875,0.0068239709,0.0086291041,0.0058854087,0.0069138086,0.0067949970,0.0089349486,2,1,1,1,8.091270
0.0420042723,0.0318678245,0.0295546781,0.0323127173,0.0250627771,0.0254584961,0.0253514796,0.0443871245,2,1,1,2,33.881832
-0.0025453176,0.0019875870,0.0015469447,0.0052893772,-0.0006015360,-0.0005056289,0.0030128593,0.0077439179,1,1,1,1,-19.805981
0.1527382880,0.1520067453,0.1368486583,0.1893969625,0.1334003508,0.1389161795,0.1621656269,0.2405230552,2,2,1,2,48.864758
0.0043630959,0.0049374243,0.0041675642,0.0055483589,0.0036804234,0.0054074479,0.0044688866,0.0059737889,2,1,1,2,0.575636
0.0575733371,0.0576002188,0.0511231944,0.0672569871,0.0513593927,0.0528281443,0.0586949401,0.0843121782,2,2,1,0,68.730324
0.0050065033,0.0080458988,0.0069814487,0.0113909980,0.0067842752,0.0067761838,0.0075953803,0.0146531388,2,1,1,1,0.616081
0.1131450087,0.1110118777,0.0979332402,0.1311912835,0.0962617397,0.0992820188,0.1154362410,0.1647533178,2,2,1,2,73.013718
-0.0017898869,-0.0014175770,-0.0013252915,-0.0006437229,-0.0015812864,-0.0020314143,-0.0018381000,-0.0009498657,2,2,1,1,-19.541136
0.0105076963,0.0004321451,0.0009409342,-0.0034951121,0.0007462842,0.0011145398,-0.0008352128,-0.0024621324,2,2,2,2,3.543370
0.0041571567,0.0089907488,0.0083525330,0.0147239268,0.0069541209,0.0072266599,0.0106908949,0.0195093509,2,1,1,1,0.818017
0.0189261679,0.0226009190,0.0206564963,0.0264746286,0.0203655008,0.0185855962,0.0210368615,0.0323420130,2,1,1,0,24.600494
0.0178929567,0.0198834762,0.0193200465,0.0247796047,0.0181008019,0.0154893668,0.0179286953,0.0316578858,2,1,1,1,25.461552
0.0406582467,0.0396267809,0.0348537490,0.0475480780,0.0352416337,0.0359191708,0.0409360118,0.0584140271,2,1,1,0,33.692356
