percent,450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,group,species
2,0.0062028120820141,0.0076710867983104,0.0069432061236262,0.0067316516195233,0.0081510119293909,0.0083524563537533,0.0067143430848062,0.0059042737791392,chlorophyte,SP012-ORA2
2,0.0066479457731289,0.0081768841958527,0.0068377922622646,0.0071013115330336,0.0085741432890521,0.0082672902667787,0.0070424325560551,0.0061097262920364,chlorophyte,SP012-ORA2
2,0.0065229423454888,0.0076523682630238,0.0075356940458294,0.0068441001596642,0.0080269887200779,0.0085151024559899,0.0066159827757238,0.0059499131975127,chlorophyte,SP012-ORA2
2,0.0062340322146769,0.0081487642370081,0.0069188772295053,0.0067798377863628,0.0083032812983675,0.0088561246377856,0.0067471366740667,0.0058814576450905,chlorophyte,SP012-ORA2
2,0.0064448364640804,0.0077646952135695,0.007495082938857,0.0066674175413923,0.0081792050482246,0.0082982574080724,0.0067580686284441,0.0059727364828335,chlorophyte,SP012-ORA2
2,0.0062184218218161,0.0078583298709906,0.007275858586507,0.0068923075572303,0.0086305988149438,0.0081976239942867,0.0068236683150996,0.0059042737791392,chlorophyte,SP012-ORA2
2,0.0066713885787347,0.0078583298709906,0.0069918686263132,0.0068119669510396,0.0084669024446848,0.0088096024740126,0.0067471366740667,0.0060183902082348,chlorophyte,SP012-ORA2
2,0.0063199010512813,0.0076804464593582,0.0063678433371071,0.0071334811830491,0.0081228210427384,0.0082440666691128,0.0070424325560551,0.0058814576450905,chlorophyte,SP012-ORA2
2,0.0062496432606513,0.0079988310933744,0.007381395126473,0.0066353065618914,0.008213039737802,0.0085073557271627,0.0070314907385455,0.006086888690714,chlorophyte,SP012-ORA2
2,0.0063355156903571,0.0078957910850608,0.0069594262593688,0.0071334811830491,0.0082299582883505,0.0088716333696887,0.0071518716193685,0.0061325662811052,chlorophyte,SP012-ORA2
4,0.0171961116383328,0.0164236170945005,0.0149428062065493,0.0137988469685891,0.0162720059216027,0.0165608441741185,0.0142585671721274,0.0135431903135451,chlorophyte,SP012-ORA2
4,0.017268461322129,0.0169717246756515,0.0154567623168756,0.0139309718736911,0.0167511118569911,0.016790683303728,0.0143593410383099,0.0138505876666709,chlorophyte,SP012-ORA2
4,0.0174855945835643,0.016711982645076,0.0152411469535413,0.0140466372842516,0.0165490006206507,0.0164657814863408,0.0146954867217425,0.0137559577863737,chlorophyte,SP012-ORA2
4,0.0177511513900495,0.0167793037783492,0.0152079863106784,0.0140962242208327,0.016341234397104,0.016869972413144,0.0142921548824281,0.01349593678205,chlorophyte,SP012-ORA2
4,0.0173167022395339,0.0165389334408885,0.0152328565191467,0.0140631651929865,0.0161508884683124,0.0169334163508579,0.0147627588820204,0.0137086582137628,chlorophyte,SP012-ORA2
4,0.0170514543431175,0.0164908801246937,0.0153986998847412,0.0136832937420005,0.0167164560676377,0.016655932119336,0.0141802097589271,0.0134723138487748,chlorophyte,SP012-ORA2
4,0.0174775503572534,0.0168562588352645,0.0150173692441541,0.0138649008737921,0.0164624166269599,0.0165687672046743,0.0141242520974103,0.0135195622701226,chlorophyte,SP012-ORA2
4,0.0176304203207017,0.0159339663061638,0.0151831177441151,0.0134193683146726,0.016658703913439,0.0163390705021375,0.0147179091804935,0.0132362249084177,chlorophyte,SP012-ORA2
4,0.0176062787938501,0.0164140091958619,0.0151002343776571,0.0140301104454573,0.016341234397104,0.0170444703119834,0.0142585671721274,0.0136613688802628,chlorophyte,SP012-ORA2
4,0.0171880736504758,0.0165966065475645,0.0151085218936875,0.0136172868016328,0.0167799942583487,0.0161016082571448,0.0139117035042234,0.013307024803787,chlorophyte,SP012-ORA2
6,0.0179846756181839,0.018698845621106,0.0168779314313442,0.015871152432716,0.0168319884855047,0.0176399897544676,0.0162351233250556,0.0161340900817734,chlorophyte,SP012-ORA2
6,0.0185408905017567,0.0190182307045372,0.017461246797999,0.0159377447623235,0.016843543789366,0.0176240963690975,0.0166296697509455,0.0161101801517708,chlorophyte,SP012-ORA2
6,0.0182828326711231,0.018679498761491,0.0164701474641709,0.0154719628137959,0.0162835430661666,0.0178148635927363,0.0166183901420781,0.0162297559800616,chlorophyte,SP012-ORA2
6,0.0184521629903229,0.0189020553349139,0.0167863496575075,0.0158212195821115,0.01694755840294,0.0175287508759934,0.0164943410681587,0.0162776046441999,chlorophyte,SP012-ORA2
6,0.0179524566892889,0.0186698257519101,0.0170445008131552,0.0157546576361771,0.0166818036510558,0.0177035703549692,0.0165619981494296,0.0161819177941155,chlorophyte,SP012-ORA2
6,0.0184279682394546,0.0186891720512176,0.0171611432212584,0.0159377447623235,0.0173812799898127,0.0175764204473964,0.0163365309778256,0.0164451575507595,chlorophyte,SP012-ORA2
6,0.0180813491005371,0.0189020553349139,0.0169278945124624,0.0161376260347653,0.0168377660905594,0.0180295983361441,0.0161562732475751,0.0164691041745434,chlorophyte,SP012-ORA2
6,0.0176384678434356,0.0185634411314947,0.0173861984862135,0.0161376260347653,0.0170458223349836,0.0170365367432639,0.0164492444110376,0.015918994864215,chlorophyte,SP012-ORA2
6,0.018573160283213,0.0184764243659044,0.0171778093712637,0.0154553434509553,0.016341234397104,0.0170365367432639,0.016426698500903,0.0163254637911215,chlorophyte,SP012-ORA2
6,0.0180491218233273,0.0185441021132333,0.0172778217591402,0.0161542898735614,0.017300278511124,0.0181728264442151,0.0166409497633264,0.0160862728384501,chlorophyte,SP012-ORA2
8,0.0206280278739119,0.0203474382291958,0.018129000873653,0.016454425115453,0.018163312712491,0.0187144282993938,0.0172167661306246,0.0162297559800616,chlorophyte,SP012-ORA2
8,0.020619915614771,0.0208338710663958,0.0175279689630991,0.0160210096083651,0.0181053254225725,0.0181887442173272,0.0174767924625376,0.0165170052985705,chlorophyte,SP012-ORA2
