,WaveLength,Abs.
0,400.126678,0.016684
1,400.592621,0.016652
2,401.058533,0.01662
3,401.524323,0.016588
4,401.990051,0.016556
5,402.455688,0.016524
6,402.921265,0.016492
7,403.386749,0.016461
8,403.852142,0.016429
9,404.317474,0.016398
10,404.782715,0.016366
11,405.247864,0.016335
12,405.712952,0.016304
13,406.177948,0.016273
14,406.642853,0.016242
15,407.107697,0.016211
16,407.572479,0.016181
17,408.03714,0.01615
18,408.50174,0.01612
19,408.966278,0.01609
20,409.430695,0.016061
21,409.89505,0.016032
22,410.359344,0.016003
23,410.823547,0.015974
24,411.287659,0.015946
25,411.751709,0.015918
26,412.215668,0.01589
27,412.679535,0.015863
28,413.143341,0.015836
29,413.607056,0.01581
30,414.070679,0.015784
31,414.534241,0.015758
32,414.997711,0.015733
33,415.461121,0.015709
34,415.924438,0.015685
35,416.387665,0.015661
36,416.85083,0.015638
37,417.313904,0.015615
38,417.776917,0.015593
39,418.239838,0.015572
40,418.702667,0.015551
41,419.165436,0.01553
42,419.628113,0.015511
43,420.090698,0.015491
44,420.553223,0.015472
45,421.015656,0.015454
46,421.478027,0.015436
47,421.940308,0.015418
48,422.402496,0.015401
49,422.864624,0.015384
50,423.32666,0.015367
51,423.788605,0.015351
52,424.250488,0.015335
53,424.712311,0.015319
54,425.174011,0.015303
55,425.635651,0.015287
56,426.097229,0.015272
57,426.558716,0.015257
58,427.020111,0.015241
59,427.481415,0.015226
60,427.942657,0.015211
61,428.403839,0.015195
62,428.864929,0.01518
63,429.325928,0.015164
64,429.786835,0.015148
65,430.247681,0.015132
66,430.708466,0.015115
67,431.169159,0.015099
68,431.629761,0.015082
69,432.090271,0.015065
70,432.55072,0.015047
71,433.011108,0.015029
72,433.471375,0.015011
73,433.93158,0.014993
74,434.391724,0.014974
75,434.851776,0.014955
76,435.311737,0.014936
77,435.771637,0.014917
78,436.231445,0.014897
79,436.691193,0.014878
80,437.150818,0.014858
81,437.610413,0.014838
82,438.069916,0.014818
83,438.529327,0.014798
84,438.988647,0.014778
85,439.447906,0.014757
86,439.907074,0.014737
87,440.36618,0.014717
88,440.825195,0.014697
89,441.284149,0.014677
90,441.743011,0.014657
91,442.201782,0.014638
92,442.660492,0.014618
93,443.11911,0.014599
94,443.577637,0.01458
95,444.036102,0.014562
96,444.494507,0.014543
97,444.95282,0.014525
98,445.411041,0.014508
99,445.869171,0.01449
100,446.32724,0.014473
101,446.785248,0.014457
102,447.243134,0.01444
103,447.700989,0.014424
104,448.158722,0.014409
105,448.616394,0.014394
106,449.074005,0.014379
107,449.531525,0.014365
108,449.988953,0.014351
109,450.446289,0.014337
110,450.903564,0.014324
111,451.360779,0.014311
112,451.817902,0.014298
113,452.274933,0.014286
114,452.731903,0.014274
115,453.188782,0.014263
116,453.645569,0.014251
117,454.102295,0.01424
118,454.55896,0.014229
119,455.015503,0.014219
120,455.472015,0.014208
121,455.928406,0.014198
122,456.384735,0.014188
123,456.841003,0.014178
124,457.29715,0.014168
125,457.753265,0.014159
126,458.209259,0.014149
127,458.665192,0.014139
128,459.121063,0.01413
129,459.576843,0.01412
130,460.032532,0.01411
131,460.488159,0.0141
132,460.943695,0.01409
133,461.39917,0.014079
134,461.854553,0.014069
135,462.309845,0.014058
136,462.765076,0.014047
137,463.220215,0.014036
138,463.675293,0.014024
139,464.13028,0.014013
140,464.585175,0.014001
141,465.040009,0.013989
142,465.494751,0.013977
143,465.949432,0.013964
144,466.404022,0.013952
145,466.858551,0.013939
146,467.312988,0.013927
147,467.767334,0.013914
148,468.221619,0.013901
149,468.675812,0.013888
150,469.129944,0.013875
151,469.583984,0.013861
152,470.037964,0.013848
153,470.491852,0.013834
154,470.945648,0.013821
155,471.399384,0.013807
156,471.853027,0.013793
157,472.30661,0.013779
158,472.760101,0.013765
159,473.213501,0.013751
160,473.66684,0.013737
161,474.120117,0.013723
162,474.573273,0.013708
163,475.026367,0.013694
164,475.479401,0.013679
165,475.932343,0.013664
166,476.385223,0.013649
167,476.837982,0.013634
168,477.29071,0.013619
169,477.743317,0.013603
170,478.195892,0.013587
171,478.648346,0.013571
172,479.100739,0.013555
173,479.55307,0.013538
174,480.00528,0.013522
175,480.457458,0.013504
176,480.909515,0.013487
177,481.361542,0.013469
178,481.813446,0.013451
179,482.265289,0.013433
180,482.717072,0.013414
181,483.168732,0.013395
182,483.620361,0.013375
183,484.071869,0.013355
184,484.523315,0.013334
185,484.974701,0.013313
186,485.425995,0.013292
187,485.877197,0.01327
188,486.328339,0.013248
189,486.779388,0.013225
190,487.230377,0.013202
191,487.681274,0.013178
192,488.132111,0.013154
193,488.582855,0.013129
194,489.033508,0.013103
195,489.4841,0.013077
196,489.934601,0.013051
197,490.38504,0.013023
198,490.835388,0.012995
199,491.285675,0.012967
200,491.73587,0.012938
201,492.185974,0.012908
202,492.636017,0.012878
203,493.085968,0.012846
204,493.535858,0.012815
205,493.985657,0.012782
206,494.435394,0.012749
207,494.88504,0.012716
208,495.334595,0.012682
209,495.784088,0.012647
210,496.23349,0.012612
211,496.682831,0.012576
212,497.13208,0.012539
213,497.581268,0.012502
214,498.030365,0.012465
215,498.47937,0.012427
216,498.928314,0.012389
217,499.377167,0.01235
218,499.825958,0.01231
219,500.274658,0.012271
220,500.723297,0.01223
221,501.171844,0.01219
222,501.6203,0.012149
223,502.068695,0.012108
224,502.517029,0.012067
225,502.96524,0.012025
226,503.413422,0.011983
227,503.861481,0.011941
228,504.309479,0.011899
229,504.757416,0.011857
230,505.205261,0.011814
231,505.653015,0.011772
232,506.100708,0.011729
233,506.548309,0.011687
234,506.99585,0.011644
235,507.443298,0.011602
236,507.890686,0.01156
237,508.337982,0.011518
238,508.785187,0.011476
239,509.23233,0.011434
240,509.679382,0.011393
241,510.126373,0.011352
242,510.573273,0.011312
243,511.020111,0.011272
244,511.466858,0.011232
245,511.913513,0.011193
246,512.360107,0.011154
247,512.806641,0.011116
248,513.253052,0.011078
249,513.699402,0.01104
250,514.145691,0.011003
251,514.591858,0.010967
252,515.038025,0.010931
253,515.48407,0.010895
254,515.929993,0.01086
255,516.375916,0.010825
256,516.821716,0.010791
257,517.267456,0.010757
258,517.713074,0.010724
259,518.158691,0.010691
260,518.604126,0.010659
261,519.049561,0.010627
