,WaveLength,Abs.
0,400.126678,0.009764
1,400.592621,0.00976
2,401.058533,0.009756
3,401.524323,0.009751
4,401.990051,0.009747
5,402.455688,0.009743
6,402.921265,0.009738
7,403.386749,0.009734
8,403.852142,0.00973
9,404.317474,0.009725
10,404.782715,0.00972
11,405.247864,0.009716
12,405.712952,0.009711
13,406.177948,0.009706
14,406.642853,0.009701
15,407.107697,0.009695
16,407.572479,0.00969
17,408.03714,0.009685
18,408.50174,0.009679
19,408.966278,0.009674
20,409.430695,0.009669
21,409.89505,0.009663
22,410.359344,0.009658
23,410.823547,0.009652
24,411.287659,0.009647
25,411.751709,0.009641
26,412.215668,0.009636
27,412.679535,0.009631
28,413.143341,0.009626
29,413.607056,0.009621
30,414.070679,0.009616
31,414.534241,0.009611
32,414.997711,0.009606
33,415.461121,0.009602
34,415.924438,0.009597
35,416.387665,0.009592
36,416.85083,0.009586
37,417.313904,0.009581
38,417.776917,0.009576
39,418.239838,0.00957
40,418.702667,0.009565
41,419.165436,0.009559
42,419.628113,0.009553
43,420.090698,0.009546
44,420.553223,0.009539
45,421.015656,0.009532
46,421.478027,0.009525
47,421.940308,0.009517
48,422.402496,0.009508
49,422.864624,0.009499
50,423.32666,0.00949
51,423.788605,0.00948
52,424.250488,0.009469
53,424.712311,0.009458
54,425.174011,0.009445
55,425.635651,0.009433
56,426.097229,0.009419
57,426.558716,0.009406
58,427.020111,0.009391
59,427.481415,0.009377
60,427.942657,0.009361
61,428.403839,0.009346
62,428.864929,0.00933
63,429.325928,0.009314
64,429.786835,0.009298
65,430.247681,0.009282
66,430.708466,0.009266
67,431.169159,0.00925
68,431.629761,0.009234
69,432.090271,0.009218
70,432.55072,0.009202
71,433.011108,0.009186
72,433.471375,0.009171
73,433.93158,0.009155
74,434.391724,0.00914
75,434.851776,0.009125
76,435.311737,0.00911
77,435.771637,0.009095
78,436.231445,0.00908
79,436.691193,0.009066
80,437.150818,0.009052
81,437.610413,0.009038
82,438.069916,0.009025
83,438.529327,0.009012
84,438.988647,0.008999
85,439.447906,0.008986
86,439.907074,0.008974
87,440.36618,0.008962
88,440.825195,0.00895
89,441.284149,0.008939
90,441.743011,0.008927
91,442.201782,0.008916
92,442.660492,0.008906
93,443.11911,0.008895
94,443.577637,0.008885
95,444.036102,0.008875
96,444.494507,0.008865
97,444.95282,0.008856
98,445.411041,0.008846
99,445.869171,0.008837
100,446.32724,0.008828
101,446.785248,0.008818
102,447.243134,0.008809
103,447.700989,0.0088
104,448.158722,0.00879
105,448.616394,0.008781
106,449.074005,0.008771
107,449.531525,0.008761
108,449.988953,0.008751
109,450.446289,0.008741
110,450.903564,0.008731
111,451.360779,0.00872
112,451.817902,0.008709
113,452.274933,0.008698
114,452.731903,0.008687
115,453.188782,0.008675
116,453.645569,0.008663
117,454.102295,0.008651
118,454.55896,0.008638
119,455.015503,0.008625
120,455.472015,0.008612
121,455.928406,0.008599
122,456.384735,0.008585
123,456.841003,0.008571
124,457.29715,0.008556
125,457.753265,0.008542
126,458.209259,0.008527
127,458.665192,0.008512
128,459.121063,0.008497
129,459.576843,0.008481
130,460.032532,0.008466
131,460.488159,0.008451
132,460.943695,0.008435
133,461.39917,0.008419
134,461.854553,0.008404
135,462.309845,0.008388
136,462.765076,0.008372
137,463.220215,0.008357
138,463.675293,0.008341
139,464.13028,0.008325
140,464.585175,0.008309
141,465.040009,0.008293
142,465.494751,0.008277
143,465.949432,0.008261
144,466.404022,0.008245
145,466.858551,0.008229
146,467.312988,0.008212
147,467.767334,0.008196
148,468.221619,0.008179
149,468.675812,0.008163
150,469.129944,0.008146
151,469.583984,0.008129
152,470.037964,0.008113
153,470.491852,0.008096
154,470.945648,0.00808
155,471.399384,0.008063
156,471.853027,0.008047
157,472.30661,0.008031
158,472.760101,0.008015
159,473.213501,0.007999
160,473.66684,0.007983
161,474.120117,0.007968
162,474.573273,0.007952
163,475.026367,0.007937
164,475.479401,0.007923
165,475.932343,0.007908
166,476.385223,0.007894
167,476.837982,0.007881
168,477.29071,0.007867
169,477.743317,0.007855
170,478.195892,0.007842
171,478.648346,0.00783
172,479.100739,0.007818
173,479.55307,0.007807
174,480.00528,0.007797
175,480.457458,0.007787
176,480.909515,0.007777
177,481.361542,0.007768
178,481.813446,0.007759
179,482.265289,0.00775
180,482.717072,0.007742
181,483.168732,0.007733
182,483.620361,0.007725
183,484.071869,0.007717
184,484.523315,0.007709
185,484.974701,0.0077
186,485.425995,0.007692
187,485.877197,0.007683
188,486.328339,0.007674
189,486.779388,0.007665
190,487.230377,0.007655
191,487.681274,0.007645
192,488.132111,0.007635
193,488.582855,0.007624
194,489.033508,0.007613
195,489.4841,0.007601
196,489.934601,0.007589
197,490.38504,0.007577
198,490.835388,0.007564
199,491.285675,0.007551
200,491.73587,0.007537
201,492.185974,0.007522
202,492.636017,0.007507
203,493.085968,0.007492
204,493.535858,0.007476
205,493.985657,0.00746
206,494.435394,0.007443
207,494.88504,0.007426
208,495.334595,0.007408
209,495.784088,0.007391
210,496.23349,0.007373
211,496.682831,0.007354
212,497.13208,0.007336
213,497.581268,0.007317
214,498.030365,0.007298
215,498.47937,0.007279
