,WaveLength,Abs.
0,400.126678,0.016268
1,400.592621,0.016237
2,401.058533,0.016206
3,401.524323,0.016175
4,401.990051,0.016145
5,402.455688,0.016114
6,402.921265,0.016083
7,403.386749,0.016052
8,403.852142,0.016021
9,404.317474,0.01599
10,404.782715,0.015959
11,405.247864,0.015928
12,405.712952,0.015896
13,406.177948,0.015865
14,406.642853,0.015833
15,407.107697,0.015801
16,407.572479,0.015769
17,408.03714,0.015737
18,408.50174,0.015705
19,408.966278,0.015673
20,409.430695,0.015641
21,409.89505,0.015608
22,410.359344,0.015576
23,410.823547,0.015543
24,411.287659,0.01551
25,411.751709,0.015477
26,412.215668,0.015444
27,412.679535,0.015411
28,413.143341,0.015378
29,413.607056,0.015345
30,414.070679,0.015312
31,414.534241,0.015278
32,414.997711,0.015244
33,415.461121,0.015211
34,415.924438,0.015177
35,416.387665,0.015143
36,416.85083,0.015108
37,417.313904,0.015074
38,417.776917,0.015039
39,418.239838,0.015004
40,418.702667,0.014969
41,419.165436,0.014934
42,419.628113,0.014898
43,420.090698,0.014862
44,420.553223,0.014826
45,421.015656,0.014789
46,421.478027,0.014752
47,421.940308,0.014715
48,422.402496,0.014677
49,422.864624,0.014639
50,423.32666,0.0146
51,423.788605,0.014561
52,424.250488,0.014522
53,424.712311,0.014481
54,425.174011,0.014441
55,425.635651,0.0144
56,426.097229,0.014358
57,426.558716,0.014316
58,427.020111,0.014274
59,427.481415,0.014231
60,427.942657,0.014189
61,428.403839,0.014146
62,428.864929,0.014102
63,429.325928,0.014059
64,429.786835,0.014016
65,430.247681,0.013973
66,430.708466,0.013929
67,431.169159,0.013886
68,431.629761,0.013843
69,432.090271,0.0138
70,432.55072,0.013758
71,433.011108,0.013715
72,433.471375,0.013673
73,433.93158,0.013631
74,434.391724,0.013589
75,434.851776,0.013548
76,435.311737,0.013507
77,435.771637,0.013466
78,436.231445,0.013426
79,436.691193,0.013386
80,437.150818,0.013346
81,437.610413,0.013307
82,438.069916,0.013269
83,438.529327,0.013231
84,438.988647,0.013193
85,439.447906,0.013156
86,439.907074,0.013119
87,440.36618,0.013083
88,440.825195,0.013047
89,441.284149,0.013012
90,441.743011,0.012978
91,442.201782,0.012943
92,442.660492,0.01291
93,443.11911,0.012876
94,443.577637,0.012844
95,444.036102,0.012811
96,444.494507,0.012779
97,444.95282,0.012748
98,445.411041,0.012717
99,445.869171,0.012686
100,446.32724,0.012656
101,446.785248,0.012625
102,447.243134,0.012595
103,447.700989,0.012566
104,448.158722,0.012536
105,448.616394,0.012507
106,449.074005,0.012477
107,449.531525,0.012448
108,449.988953,0.012419
109,450.446289,0.012389
110,450.903564,0.01236
111,451.360779,0.012331
112,451.817902,0.012302
113,452.274933,0.012273
114,452.731903,0.012245
115,453.188782,0.012216
116,453.645569,0.012187
117,454.102295,0.012159
118,454.55896,0.01213
119,455.015503,0.012102
120,455.472015,0.012074
121,455.928406,0.012046
122,456.384735,0.012018
123,456.841003,0.01199
124,457.29715,0.011963
125,457.753265,0.011935
126,458.209259,0.011908
127,458.665192,0.011881
128,459.121063,0.011854
129,459.576843,0.011828
130,460.032532,0.011801
131,460.488159,0.011775
132,460.943695,0.01175
133,461.39917,0.011724
134,461.854553,0.011699
135,462.309845,0.011674
136,462.765076,0.011649
137,463.220215,0.011625
138,463.675293,0.011601
139,464.13028,0.011577
140,464.585175,0.011554
141,465.040009,0.01153
142,465.494751,0.011507
143,465.949432,0.011485
144,466.404022,0.011462
145,466.858551,0.01144
146,467.312988,0.011418
147,467.767334,0.011396
148,468.221619,0.011375
149,468.675812,0.011354
150,469.129944,0.011333
151,469.583984,0.011312
152,470.037964,0.011292
153,470.491852,0.011272
154,470.945648,0.011252
155,471.399384,0.011233
156,471.853027,0.011214
157,472.30661,0.011195
158,472.760101,0.011177
159,473.213501,0.01116
160,473.66684,0.011142
161,474.120117,0.011125
162,474.573273,0.011109
163,475.026367,0.011093
164,475.479401,0.011078
165,475.932343,0.011062
166,476.385223,0.011048
167,476.837982,0.011034
168,477.29071,0.01102
169,477.743317,0.011006
170,478.195892,0.010993
171,478.648346,0.010981
172,479.100739,0.010969
173,479.55307,0.010957
174,480.00528,0.010946
175,480.457458,0.010935
176,480.909515,0.010924
177,481.361542,0.010914
178,481.813446,0.010904
179,482.265289,0.010894
180,482.717072,0.010883
181,483.168732,0.010873
182,483.620361,0.010863
183,484.071869,0.010853
184,484.523315,0.010843
185,484.974701,0.010832
186,485.425995,0.010821
187,485.877197,0.01081
188,486.328339,0.010798
189,486.779388,0.010786
190,487.230377,0.010773
191,487.681274,0.01076
192,488.132111,0.010746
193,488.582855,0.010731
194,489.033508,0.010716
195,489.4841,0.010701
196,489.934601,0.010684
197,490.38504,0.010667
198,490.835388,0.01065
199,491.285675,0.010632
200,491.73587,0.010613
201,492.185974,0.010593
202,492.636017,0.010573
203,493.085968,0.010552
204,493.535858,0.01053
205,493.985657,0.010507
206,494.435394,0.010484
207,494.88504,0.010461
208,495.334595,0.010437
209,495.784088,0.010412
210,496.23349,0.010387
211,496.682831,0.010361
212,497.13208,0.010335
213,497.581268,0.010309
214,498.030365,0.010282
215,498.47937,0.010255
216,498.928314,0.010228
217,499.377167,0.0102
218,499.825958,0.010172
219,500.274658,0.010144
220,500.723297,0.010116
221,501.171844,0.010088
222,501.6203,0.010059
223,502.068695,0.01003
224,502.517029,0.010002
225,502.96524,0.009973
226,503.413422,0.009944
227,503.861481,0.009916
228,504.309479,0.009887
229,504.757416,0.009859
230,505.205261,0.00983
231,505.653015,0.009802
232,506.100708,0.009774
233,506.548309,0.009746
234,506.99585,0.009718
235,507.443298,0.00969
236,507.890686,0.009663
237,508.337982,0.009636
238,508.785187,0.009609
239,509.23233,0.009582
240,509.679382,0.009555
241,510.126373,0.009529
242,510.573273,0.009503
243,511.020111,0.009477
244,511.466858,0.009452
245,511.913513,0.009426
246,512.360107,0.009401
247,512.806641,0.009377
248,513.253052,0.009352
249,513.699402,0.009328
250,514.145691,0.009304
251,514.591858,0.00928
252,515.038025,0.009257
253,515.48407,0.009234
254,515.929993,0.009211
255,516.375916,0.009188
