,WaveLength,Abs.
0,400.126678,0.039166
1,400.592621,0.039127
2,401.058533,0.039087
3,401.524323,0.039048
4,401.990051,0.039008
5,402.455688,0.038969
6,402.921265,0.03893
7,403.386749,0.03889
8,403.852142,0.038851
9,404.317474,0.038811
10,404.782715,0.038772
11,405.247864,0.038732
12,405.712952,0.038693
13,406.177948,0.038653
14,406.642853,0.038614
15,407.107697,0.038574
16,407.572479,0.038535
17,408.03714,0.038495
18,408.50174,0.038456
19,408.966278,0.038416
20,409.430695,0.038377
21,409.89505,0.038337
22,410.359344,0.038297
23,410.823547,0.038258
24,411.287659,0.038218
25,411.751709,0.038178
26,412.215668,0.038138
27,412.679535,0.038098
28,413.143341,0.038058
29,413.607056,0.038017
30,414.070679,0.037977
31,414.534241,0.037937
32,414.997711,0.037896
33,415.461121,0.037855
34,415.924438,0.037814
35,416.387665,0.037773
36,416.85083,0.037732
37,417.313904,0.03769
38,417.776917,0.037649
39,418.239838,0.037607
40,418.702667,0.037565
41,419.165436,0.037522
42,419.628113,0.03748
43,420.090698,0.037437
44,420.553223,0.037394
45,421.015656,0.037351
46,421.478027,0.037308
47,421.940308,0.037265
48,422.402496,0.037222
49,422.864624,0.037179
50,423.32666,0.037136
51,423.788605,0.037093
52,424.250488,0.03705
53,424.712311,0.037007
54,425.174011,0.036964
55,425.635651,0.036921
56,426.097229,0.036879
57,426.558716,0.036837
58,427.020111,0.036795
59,427.481415,0.036753
60,427.942657,0.036711
61,428.403839,0.03667
62,428.864929,0.036629
63,429.325928,0.036588
64,429.786835,0.036548
65,430.247681,0.036508
66,430.708466,0.036469
67,431.169159,0.03643
68,431.629761,0.036391
69,432.090271,0.036353
70,432.55072,0.036315
71,433.011108,0.036278
72,433.471375,0.036241
73,433.93158,0.036205
74,434.391724,0.03617
75,434.851776,0.036135
76,435.311737,0.0361
77,435.771637,0.036067
78,436.231445,0.036034
79,436.691193,0.036002
80,437.150818,0.035971
81,437.610413,0.03594
82,438.069916,0.035911
83,438.529327,0.035882
84,438.988647,0.035854
85,439.447906,0.035827
86,439.907074,0.0358
87,440.36618,0.035775
88,440.825195,0.035751
