,WaveLength,Abs.
0,400.126678,0.01372
1,400.592621,0.01371
2,401.058533,0.013699
3,401.524323,0.013689
4,401.990051,0.013679
5,402.455688,0.013669
6,402.921265,0.013659
7,403.386749,0.013649
8,403.852142,0.013639
9,404.317474,0.013629
10,404.782715,0.013619
11,405.247864,0.013609
12,405.712952,0.0136
13,406.177948,0.01359
14,406.642853,0.01358
15,407.107697,0.013571
16,407.572479,0.013561
17,408.03714,0.013552
18,408.50174,0.013543
19,408.966278,0.013533
20,409.430695,0.013525
21,409.89505,0.013516
22,410.359344,0.013507
23,410.823547,0.013499
24,411.287659,0.013491
25,411.751709,0.013483
26,412.215668,0.013475
27,412.679535,0.013467
28,413.143341,0.01346
29,413.607056,0.013453
30,414.070679,0.013446
31,414.534241,0.01344
32,414.997711,0.013434
33,415.461121,0.013428
34,415.924438,0.013422
35,416.387665,0.013416
36,416.85083,0.013411
37,417.313904,0.013406
38,417.776917,0.013401
39,418.239838,0.013396
40,418.702667,0.013392
41,419.165436,0.013387
42,419.628113,0.013383
43,420.090698,0.013379
44,420.553223,0.013376
45,421.015656,0.013372
46,421.478027,0.013369
47,421.940308,0.013366
48,422.402496,0.013363
49,422.864624,0.01336
50,423.32666,0.013358
51,423.788605,0.013355
52,424.250488,0.013353
53,424.712311,0.013351
54,425.174011,0.013349
55,425.635651,0.013347
56,426.097229,0.013346
57,426.558716,0.013344
58,427.020111,0.013343
59,427.481415,0.013342
60,427.942657,0.013341
61,428.403839,0.01334
62,428.864929,0.013339
63,429.325928,0.013338
64,429.786835,0.013338
65,430.247681,0.013338
66,430.708466,0.013338
67,431.169159,0.013337
68,431.629761,0.013337
69,432.090271,0.013338
70,432.55072,0.013338
71,433.011108,0.013338
72,433.471375,0.013339
73,433.93158,0.01334
74,434.391724,0.013341
75,434.851776,0.013342
76,435.311737,0.013343
77,435.771637,0.013345
78,436.231445,0.013346
79,436.691193,0.013348
80,437.150818,0.01335
81,437.610413,0.013352
82,438.069916,0.013355
83,438.529327,0.013358
84,438.988647,0.01336
85,439.447906,0.013363
86,439.907074,0.013366
87,440.36618,0.013369
88,440.825195,0.013373
89,441.284149,0.013376
90,441.743011,0.013379
91,442.201782,0.013383
92,442.660492,0.013386
