,WaveLength,Abs.
0,400.126678,0.032015
1,400.592621,0.032005
2,401.058533,0.031995
3,401.524323,0.031986
4,401.990051,0.031976
5,402.455688,0.031967
6,402.921265,0.031957
7,403.386749,0.031948
8,403.852142,0.031939
9,404.317474,0.031929
10,404.782715,0.03192
11,405.247864,0.031911
12,405.712952,0.031902
13,406.177948,0.031893
14,406.642853,0.031884
15,407.107697,0.031876
16,407.572479,0.031867
17,408.03714,0.031859
18,408.50174,0.03185
19,408.966278,0.031842
20,409.430695,0.031834
21,409.89505,0.031826
22,410.359344,0.031819
23,410.823547,0.031811
24,411.287659,0.031804
25,411.751709,0.031796
26,412.215668,0.031789
27,412.679535,0.031782
28,413.143341,0.031775
29,413.607056,0.031768
30,414.070679,0.031762
31,414.534241,0.031755
32,414.997711,0.031749
33,415.461121,0.031743
34,415.924438,0.031736
35,416.387665,0.03173
36,416.85083,0.031724
37,417.313904,0.031718
38,417.776917,0.031711
39,418.239838,0.031705
40,418.702667,0.031699
41,419.165436,0.031692
42,419.628113,0.031686
43,420.090698,0.031679
44,420.553223,0.031672
45,421.015656,0.031665
46,421.478027,0.031658
47,421.940308,0.031651
48,422.402496,0.031643
49,422.864624,0.031635
50,423.32666,0.031627
51,423.788605,0.031618
52,424.250488,0.031609
53,424.712311,0.0316
54,425.174011,0.03159
55,425.635651,0.03158
56,426.097229,0.03157
57,426.558716,0.031559
58,427.020111,0.031548
59,427.481415,0.031537
60,427.942657,0.031525
61,428.403839,0.031513
62,428.864929,0.031501
63,429.325928,0.031488
64,429.786835,0.031476
65,430.247681,0.031463
66,430.708466,0.03145
67,431.169159,0.031436
68,431.629761,0.031423
69,432.090271,0.031409
70,432.55072,0.031395
71,433.011108,0.031381
72,433.471375,0.031366
73,433.93158,0.031352
74,434.391724,0.031337
75,434.851776,0.031323
76,435.311737,0.031308
77,435.771637,0.031293
78,436.231445,0.031277
79,436.691193,0.031262
80,437.150818,0.031246
81,437.610413,0.031231
82,438.069916,0.031215
83,438.529327,0.031199
84,438.988647,0.031183
85,439.447906,0.031167
86,439.907074,0.031151
87,440.36618,0.031135
88,440.825195,0.031119
89,441.284149,0.031103
90,441.743011,0.031086
91,442.201782,0.03107
92,442.660492,0.031053
93,443.11911,0.031037
94,443.577637,0.03102
95,444.036102,0.031004
96,444.494507,0.030987
97,444.95282,0.030971
98,445.411041,0.030954
99,445.869171,0.030937
100,446.32724,0.03092
101,446.785248,0.030904
102,447.243134,0.030887
103,447.700989,0.03087
104,448.158722,0.030852
105,448.616394,0.030835
106,449.074005,0.030818
107,449.531525,0.0308
108,449.988953,0.030782
109,450.446289,0.030764
110,450.903564,0.030746
111,451.360779,0.030728
112,451.817902,0.03071
113,452.274933,0.030691
114,452.731903,0.030672
115,453.188782,0.030653
116,453.645569,0.030634
117,454.102295,0.030614
118,454.55896,0.030594
119,455.015503,0.030574
120,455.472015,0.030553
121,455.928406,0.030533
122,456.384735,0.030511
123,456.841003,0.03049
124,457.29715,0.030468
125,457.753265,0.030446
126,458.209259,0.030423
127,458.665192,0.030401
128,459.121063,0.030378
129,459.576843,0.030354
130,460.032532,0.030331
131,460.488159,0.030307
132,460.943695,0.030283
