,450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,percent
928,0.0090356637250344,0.0063722108839617,0.0055376005192829,0.0044570224562461,0.0056430744985713,0.0055475557789881,0.0039824756489884,0.0040593938327845,18.0
622,0.2208277309093973,0.2201686895688845,0.195072883038852,0.1851847306159707,0.1807054420498142,0.1886625907925539,0.1965481446367878,0.2065488278919872,100.0
22,0.0182828326711231,0.018679498761491,0.0164701474641709,0.0154719628137959,0.0162835430661666,0.0178148635927363,0.0166183901420781,0.0162297559800616,6.0
851,-0.0049153159891938,-0.0090006737121399,-0.0085991835290359,-0.0077469995335676,-0.0071917098046554,-0.0078632357174559,-0.0084360810451908,-0.0092397148828747,4.0
111,0.0369362704151876,0.0394002753707498,0.0350797172197192,0.0318588085580101,0.0326203267414429,0.0334901958234804,0.0331513424075753,0.0332891437592212,30.0
986,0.0135673354408216,0.0051001083986278,0.0047916413126069,0.0020592075204708,0.0040705774061517,0.0031253249325835,0.001748475988061,0.0020373344016182,45.0
555,0.0993627561675142,0.0945673190062906,0.0850448458444714,0.0771134221168404,0.0782391764303734,0.0811041951743352,0.0822805461497124,0.0811971526012199,40.0
538,0.0755108901644069,0.0757323114059787,0.0680271477169329,0.0625526321879034,0.0608856408654944,0.0634705317154041,0.0660035273728608,0.0650607523117145,30.0
822,0.1357244495980733,0.1282987287528074,0.1169962943657374,0.0975526890954519,0.0978388521983921,0.0948358855426177,0.0952666419178891,0.1055434080282827,90.0
1,0.0066479457731289,0.0081768841958527,0.0068377922622646,0.0071013115330336,0.0085741432890521,0.0082672902667787,0.0070424325560551,0.0061097262920364,2.0
322,0.0035653606112688,0.0107914190560692,0.0102061487797643,0.0114392820195711,0.0069220041798721,0.0056776777442874,0.0090026760423368,0.0115835286632765,30.0
73,0.0287884009969335,0.0290138937662433,0.0256472383935011,0.0230455341203794,0.0241458751846107,0.0259040548512857,0.0242676285177716,0.0242204559932735,16.0
666,0.0185445283117403,0.0227281296394988,0.0205489020649021,0.0187611156666885,0.0183162005093351,0.0178783398954642,0.0178836642278625,0.0186157386113146,8.0
421,0.0063009870814537,0.0054567873112841,0.0059880416197691,0.0063310863124129,0.0050964890042427,0.0063929564831689,0.0055745036973039,0.0048387761126162,2.0
1039,0.0420042732783815,0.0318678244695647,0.0289356783410205,0.0225357050998521,0.0233966254332474,0.0241801985875947,0.0212558849248946,0.0255947879534454,90.0
244,-0.0025453174318091,0.0019875869276322,0.000660654329954,0.0040460041234877,-0.0010937219959555,-0.0007234388219608,0.0023783622729263,0.0041414697008936,8.0
601,0.1527382869700473,0.152006745350667,0.1372536089300475,0.1300146627248418,0.1267784856738262,0.1330037672815923,0.1368723316235361,0.1404255237991316,80.0
638,0.0043630959093333,0.0049374241511844,0.0033062834276004,0.004223202427539,0.0029923669404564,0.0049481219227283,0.0036087958501279,0.0031051206764357,2.0
173,0.0575733371164772,0.0576002159553419,0.0507100335548644,0.0464450022237179,0.0484903463143934,0.0504319495595236,0.0494331790943273,0.048969515817893,70.0
313,0.0050065033940109,0.0080458988692354,0.0061470218761217,0.0082208076989469,0.00595423839927,0.0062609530344086,0.0062508769841775,0.0081865770917111,25.0
574,0.1131450182366418,0.1110118690125415,0.0979668071583541,0.0901896330704732,0.0913387152631415,0.0949884473454244,0.0973831038577606,0.0960649965519887,50.0
