percent,MSI_ref,AS7343,group,species
0,0.0,0.0,chlorophyte,SP012-ORA2
2,0.0002629999944474,0.0228257506928834,chlorophyte,SP012-ORA2
4,-0.000213999999687,0.045633728820013,chlorophyte,SP012-ORA2
6,0.0030259999912232,0.0472064513317276,chlorophyte,SP012-ORA2
8,0.0081970002502202,0.0509455027185829,chlorophyte,SP012-ORA2
10,0.0153280002996325,0.0551564475885678,chlorophyte,SP012-ORA2
12,0.0056839999742805,0.0631536657460076,chlorophyte,SP012-ORA2
14,0.0022390000522136,0.0537344953521131,chlorophyte,SP012-ORA2
16,0.0093580000102519,0.069504888696607,chlorophyte,SP012-ORA2
18,0.0105090001598,0.0544043588720517,chlorophyte,SP012-ORA2
20,0.0196940004825592,0.06723432629581,chlorophyte,SP012-ORA2
25,0.0176989994943141,0.0741282130802808,chlorophyte,SP012-ORA2
30,0.0228840000927448,0.0920403446475641,chlorophyte,SP012-ORA2
35,0.0248920004814863,0.0838265378839699,chlorophyte,SP012-ORA2
40,0.0207020007073879,0.0957126939751617,chlorophyte,SP012-ORA2
45,0.0226980000734329,0.0762975561197327,chlorophyte,SP012-ORA2
50,0.0159019995480775,0.0921930902500607,chlorophyte,SP012-ORA2
60,0.0193900000303983,0.1074488118907556,chlorophyte,SP012-ORA2
70,0.0220589991658926,0.1343830561295734,chlorophyte,SP012-ORA2
80,0.0284729991108179,0.1363147047449422,chlorophyte,SP012-ORA2
90,0.0371770001947879,0.1607168887293802,chlorophyte,SP012-ORA2
100,0.0576060004532337,0.181507734771822,chlorophyte,SP012-ORA2
0,0.0,0.0,diatom,p. nitzchia
2,-0.0001230000052601,-0.0117977645942637,diatom,p. nitzchia
4,-9.699999645818024e-05,-0.0112127519681857,diatom,p. nitzchia
6,0.0026289999950677,-0.0161351397944068,diatom,p. nitzchia
8,0.0007869999972172,-0.003942763282477,diatom,p. nitzchia
10,-2.5999999706982635e-05,-0.0070286454456117,diatom,p. nitzchia
12,0.0142780002206563,0.0164485349364154,diatom,p. nitzchia
14,0.0022990000434219,0.0182875336075583,diatom,p. nitzchia
16,0.0008060000254772,0.017408298160064,diatom,p. nitzchia
18,0.0009309999877586,0.0144830839962984,diatom,p. nitzchia
20,0.0076310001313686,0.0223681725842748,diatom,p. nitzchia
25,0.0093259997665882,0.0154896919750489,diatom,p. nitzchia
30,0.0059139998629689,0.0182712444422962,diatom,p. nitzchia
35,0.0029140000697225,0.0198362155000057,diatom,p. nitzchia
40,0.0069550001062452,0.0328911240101674,diatom,p. nitzchia
45,0.0047980002127587,0.0303983657466639,diatom,p. nitzchia
50,0.0091639999300241,0.0316522223443737,diatom,p. nitzchia
60,0.0081139998510479,0.0121166793391555,diatom,p. nitzchia
70,0.0105259995907545,0.0120033621399116,diatom,p. nitzchia
80,0.0138839995488524,0.0163022113170836,diatom,p. nitzchia
90,0.0196299999952316,0.0419902469956317,diatom,p. nitzchia
100,0.0176180005073547,0.04640349387775,diatom,p. nitzchia
0,0.0,0.0,dinoflagellate,t. tetrahele
2,0.0,0.0135982174503029,dinoflagellate,t. tetrahele
4,0.00021199999901,0.025680090015067,dinoflagellate,t. tetrahele
6,0.0045250002294778,0.0273201524821263,dinoflagellate,t. tetrahele
